DayofYear,Alaska,Washington,Montana,North Dakota,Minnesota,Wisconsin,Michigan,New York,Vermont,New Hampshire,Maine,Oregon,Idaho,Wyoming,South Dakota,Nebraska,Iowa,Illinois,Indiana,Ohio,Pennsylvania,Connecticut,Rhode Island,Massachusetts,California,Nevada,Utah,Colorado,Kansas,Missouri,Kentucky,West Virginia,Virginia,District Of Columbia,Maryland,Delaware,New Jersey,Arizona,New Mexico,Texas,Oklahoma,Arkansas,Tennessee,Louisiana,Mississippi,Alabama,Florida,Georgia,South Carolina,North Carolina,Puerto Rico,Virgin Islands,Hawaii
114.0,18.333333333333332,10.652173913043478,19.88888888888889,41.0,31.285714285714285,47.666666666666664,19.666666666666668,14.333333333333334,19.0,33.0,-9999.0,12.45,17.625,14.5,40.6,31.875,47.09090909090909,51.5,40.5,31.8,21.0,-9999.0,-9999.0,18.5,46.214285714285715,28.0,21.5,15.666666666666666,35.0,31.0,22.0,25.0,19.6,-9999.0,21.0,-9999.0,15.0,22.5,23.666666666666668,55.28,27.25,22.2,22.875,50.3125,49.833333333333336,48.8,48.1,38.333333333333336,30.333333333333332,23.555555555555557,22.2,34.0,42.333333333333336
115.0,41.5,12.166666666666666,17.166666666666668,48.375,32.6,48.5,14.0,12.333333333333334,10.0,-9999.0,2.0,13.68421052631579,16.857142857142858,-9999.0,55.57142857142857,49.0,60.1,47.0,44.666666666666664,38.75,43.0,-9999.0,-9999.0,30.0,42.6,16.0,15.0,-9999.0,-9999.0,39.4,41.0,30.0,34.0,34.0,33.0,-9999.0,-9999.0,27.0,37.0,56.785714285714285,12.0,-9999.0,47.0,53.111111111111114,51.5,49.714285714285715,54.19047619047619,47.214285714285715,43.0,41.785714285714285,-9999.0,-9999.0,43.5
116.0,26.0,15.208333333333334,18.666666666666668,38.0,20.8,18.0,26.0,9.333333333333334,16.0,-9999.0,7.0,15.105263157894736,15.0,-9999.0,45.8,44.0,48.0,-9999.0,30.4,20.0,35.0,-9999.0,-9999.0,20.0,56.6,28.0,15.0,-9999.0,-9999.0,45.333333333333336,48.0,27.0,27.5,-9999.0,19.0,-9999.0,-9999.0,23.0,10.0,62.04545454545455,19.0,-9999.0,37.0,53.666666666666664,48.5,52.0,63.333333333333336,36.375,36.4,20.625,-9999.0,-9999.0,30.0
117.0,13.5,15.222222222222221,16.77777777777778,35.0,25.666666666666668,15.0,11.666666666666666,7.666666666666667,10.333333333333334,-9999.0,5.0,14.5,17.642857142857142,17.333333333333332,36.0,25.666666666666668,34.75,-9999.0,18.555555555555557,32.0,33.5,-9999.0,-9999.0,8.333333333333334,27.0,18.0,10.5,4.5,18.0,27.0,32.333333333333336,24.0,26.5,-9999.0,32.5,-9999.0,10.0,13.5,29.166666666666668,41.4,14.0,23.8,25.125,39.0,39.333333333333336,36.75,51.34782608695652,34.916666666666664,30.666666666666668,28.625,53.333333333333336,65.0,38.666666666666664
118.0,9.5,16.0,22.5,-9999.0,29.428571428571427,20.0,20.0,8.0,16.0,-9999.0,2.0,13.210526315789474,23.692307692307693,52.0,29.2,25.0,45.2,-9999.0,33.6,34.0,25.333333333333332,-9999.0,-9999.0,3.0,40.2,18.0,16.0,53.0,-9999.0,48.0,-9999.0,33.0,17.0,-9999.0,24.0,-9999.0,-9999.0,12.0,12.0,22.428571428571427,19.0,-9999.0,24.0,42.333333333333336,45.333333333333336,49.285714285714285,41.15384615384615,45.875,37.0,32.0,-9999.0,-9999.0,24.5
119.0,6.5,14.0,23.0,-9999.0,18.75,27.0,20.0,17.0,20.0,-9999.0,0.0,12.526315789473685,18.818181818181817,-9999.0,20.666666666666668,28.0,51.2,-9999.0,36.75,47.5,37.5,-9999.0,-9999.0,12.0,45.36363636363637,28.0,16.0,-9999.0,-9999.0,49.0,-9999.0,39.0,26.0,-9999.0,38.5,-9999.0,-9999.0,17.0,9.0,21.2,21.0,-9999.0,42.0,43.0,43.5,45.0,45.5,39.22222222222222,40.2,41.8,-9999.0,-9999.0,29.5
120.0,9.666666666666666,13.0,14.444444444444445,-9999.0,19.833333333333332,17.0,26.166666666666668,30.4,15.5,-9999.0,-9999.0,20.526315789473685,20.357142857142858,10.5,22.0,25.833333333333332,35.333333333333336,35.0,24.11111111111111,41.15384615384615,47.2,-9999.0,-9999.0,11.5,50.5,33.0,15.5,7.5,22.0,36.0,42.8,41.0,36.57142857142857,-9999.0,47.0,-9999.0,13.0,19.0,11.166666666666666,27.285714285714285,24.5,30.6,36.125,33.25,37.5,48.0,34.666666666666664,43.25,35.333333333333336,35.0,63.0,62.0,34.0
121.0,9.5,25.77777777777778,43.5,-9999.0,30.4,29.0,37.666666666666664,19.25,-9999.0,-9999.0,-9999.0,32.92307692307692,37.06666666666667,16.0,40.25,28.0,56.5,-9999.0,34.2,45.2,40.125,-9999.0,-9999.0,12.0,56.22222222222222,25.0,22.0,56.0,-9999.0,45.0,47.0,45.0,21.5,-9999.0,53.0,-9999.0,-9999.0,-9999.0,10.0,28.4,32.0,-9999.0,34.0,43.0,59.0,-9999.0,39.0,35.166666666666664,28.5,22.25,-9999.0,-9999.0,28.0
122.0,18.0,18.25,42.833333333333336,-9999.0,36.0,29.0,38.0,21.666666666666668,24.0,-9999.0,38.0,26.46153846153846,35.642857142857146,13.0,52.5,29.0,51.0,-9999.0,52.888888888888886,57.2,46.6,-9999.0,-9999.0,35.0,60.77777777777778,30.0,17.0,-9999.0,-9999.0,46.666666666666664,73.0,48.0,20.0,-9999.0,56.0,-9999.0,44.5,-9999.0,10.0,28.6,39.0,-9999.0,54.0,46.0,49.0,52.0,26.0,45.285714285714285,39.0,38.4,-9999.0,-9999.0,28.5
123.0,26.2,20.714285714285715,17.666666666666668,-9999.0,34.142857142857146,37.0,45.333333333333336,32.0,27.0,-9999.0,48.0,23.923076923076923,29.5,29.333333333333332,38.25,29.333333333333332,49.333333333333336,47.5,56.083333333333336,74.16666666666667,39.0,-9999.0,-9999.0,33.0,42.27272727272727,28.0,14.5,11.5,42.0,50.333333333333336,51.75,58.25,33.333333333333336,-9999.0,-9999.0,-9999.0,37.666666666666664,10.0,12.833333333333334,36.714285714285715,38.666666666666664,47.833333333333336,42.0,43.75,46.0,48.0,29.0,47.25,50.5,39.5,33.0,36.0,33.0
