DayofYear,Alaska,Washington,Montana,North Dakota,Minnesota,Wisconsin,Michigan,New York,Vermont,New Hampshire,Maine,Oregon,Idaho,Wyoming,South Dakota,Nebraska,Iowa,Illinois,Indiana,Ohio,Pennsylvania,Connecticut,Rhode Island,Massachusetts,California,Nevada,Utah,Colorado,Kansas,Missouri,Kentucky,West Virginia,Virginia,District Of Columbia,Maryland,Delaware,New Jersey,Arizona,New Mexico,Texas,Oklahoma,Arkansas,Tennessee,Louisiana,Mississippi,Alabama,Florida,Georgia,South Carolina,North Carolina,Puerto Rico,Virgin Islands,Hawaii
1.0,100.25,31.44,50.55555555555556,28.0,25.3,26.5,30.0,65.21428571428571,76.0,78.0,21.0,28.318181818181817,32.42857142857143,60.0,39.0,53.0,41.57142857142857,45.333333333333336,45.9,39.21052631578947,62.31578947368421,97.0,66.0,72.625,77.7741935483871,108.0,49.8,54.0,59.0,46.142857142857146,20.8,43.0,44.5,54.0,57.166666666666664,69.0,61.333333333333336,-9999.0,72.0,31.416666666666668,52.888888888888886,63.0,22.0,40.5,33.166666666666664,33.142857142857146,47.611111111111114,28.625,38.4,31.25,-9999.0,-9999.0,92.5
2.0,47.333333333333336,29.73076923076923,35.285714285714285,42.5,36.75,22.0,14.5,34.25,47.5,35.333333333333336,15.0,45.666666666666664,38.09090909090909,38.0,42.142857142857146,43.857142857142854,52.45454545454545,48.0,42.55,36.63636363636363,22.125,27.75,24.5,25.625,62.457142857142856,32.5,54.44444444444444,46.92307692307692,37.0,31.77777777777778,33.36842105263158,32.72727272727273,21.647058823529413,-9999.0,19.0,21.0,19.8,51.0,25.444444444444443,40.611111111111114,52.93333333333333,39.7,34.285714285714285,41.125,31.727272727272727,30.666666666666668,31.4,25.333333333333332,29.666666666666668,24.846153846153847,-9999.0,23.5,35.0
3.0,72.0,41.57142857142857,57.9,38.0,57.36363636363637,29.0,-9999.0,36.84615384615385,-9999.0,-9999.0,23.0,56.43478260869565,42.857142857142854,-9999.0,39.0,54.0,54.142857142857146,42.0,40.625,28.666666666666668,26.0,17.0,8.0,13.5,59.4375,60.0,74.83333333333333,-9999.0,46.0,38.666666666666664,16.1,-9999.0,20.333333333333332,-9999.0,23.8,-9999.0,16.0,-9999.0,47.333333333333336,38.18181818181818,50.8,-9999.0,27.666666666666668,42.0,25.857142857142858,38.5,34.44444444444444,25.625,33.0,25.857142857142858,-9999.0,-9999.0,47.5
4.0,70.0,35.111111111111114,62.666666666666664,53.0,50.3,28.0,25.0,39.23076923076923,36.0,-9999.0,13.5,52.17391304347826,36.142857142857146,-9999.0,57.25,83.0,62.285714285714285,40.0,42.0,32.72222222222222,29.857142857142858,16.0,11.5,13.25,66.73333333333333,61.0,83.66666666666667,-9999.0,45.0,42.833333333333336,18.3,30.0,28.0,-9999.0,30.0,40.0,18.0,-9999.0,50.333333333333336,31.0,47.9,38.0,31.333333333333332,28.25,38.0,44.833333333333336,39.666666666666664,27.8,32.0,31.642857142857142,-9999.0,-9999.0,29.0
5.0,41.42857142857143,35.03846153846154,45.0,48.333333333333336,47.69230769230769,39.30769230769231,7.588235294117647,37.61538461538461,28.0,-9999.0,13.5,55.375,47.0,36.333333333333336,58.875,75.66666666666667,78.75,58.333333333333336,55.04761904761905,42.78260869565217,27.2,15.0,17.0,16.857142857142858,72.61111111111111,44.75,90.44444444444444,51.375,58.25,49.27272727272727,47.94117647058823,47.36363636363637,27.235294117647058,30.0,23.875,23.5,26.6,8.0,35.3,33.470588235294116,53.38461538461539,50.416666666666664,33.5,46.470588235294116,36.0,37.625,36.611111111111114,35.72727272727273,33.0,31.925925925925927,-9999.0,26.0,18.0
6.0,53.5,28.074074074074073,59.375,38.0,62.36363636363637,45.333333333333336,18.0,35.07692307692308,-9999.0,29.0,12.5,36.68181818181818,30.857142857142858,-9999.0,49.75,69.0,96.42857142857143,65.66666666666667,71.11111111111111,48.77777777777778,28.785714285714285,12.0,9.0,12.333333333333334,78.65625,70.0,100.83333333333333,-9999.0,-9999.0,60.6,38.72727272727273,42.0,20.5,27.0,27.8,-9999.0,12.0,-9999.0,51.5,39.85,53.9,62.0,47.666666666666664,49.833333333333336,32.166666666666664,45.5,42.1,36.06666666666667,39.75,25.76923076923077,-9999.0,-9999.0,3.0
7.0,46.0,35.241379310344826,86.22222222222223,32.0,18.666666666666668,43.666666666666664,66.0,38.84615384615385,28.0,37.0,21.0,36.13636363636363,43.57142857142857,-9999.0,34.0,29.0,69.14285714285714,64.83333333333333,71.44444444444444,61.68421052631579,44.0625,14.0,8.0,19.0,78.75757575757575,52.0,54.833333333333336,-9999.0,-9999.0,28.571428571428573,29.636363636363637,40.0,36.25,-9999.0,40.666666666666664,42.0,29.0,-9999.0,49.5,25.636363636363637,29.166666666666668,48.0,50.666666666666664,48.333333333333336,37.666666666666664,56.142857142857146,46.4375,40.6875,42.2,35.8,-9999.0,-9999.0,23.0
8.0,34.857142857142854,31.464285714285715,60.285714285714285,53.0,23.545454545454547,17.916666666666668,15.470588235294118,46.27272727272727,18.0,9.0,33.0,44.78260869565217,41.75,55.75,45.75,30.0,37.07692307692308,33.30769230769231,44.68181818181818,64.8,71.9047619047619,41.666666666666664,29.5,26.5,69.6046511627907,51.5,67.0,46.45454545454545,29.4,28.8,41.31578947368421,58.833333333333336,51.05263157894737,61.0,61.0,74.0,49.06666666666667,32.0,25.166666666666668,21.727272727272727,25.555555555555557,29.916666666666668,36.75,29.0,31.363636363636363,39.588235294117645,42.0,42.30434782608695,41.714285714285715,40.86206896551724,-9999.0,23.0,24.5
9.0,67.75,37.5,69.77777777777777,-9999.0,51.2,46.0,-9999.0,37.63636363636363,-9999.0,-9999.0,20.5,52.69565217391305,38.57142857142857,-9999.0,27.333333333333332,50.0,73.28571428571429,57.6,54.25,35.666666666666664,29.4,14.666666666666666,12.0,23.5,58.34375,67.0,113.33333333333333,-9999.0,-9999.0,47.42857142857143,27.0,31.0,36.333333333333336,-9999.0,30.8,-9999.0,15.5,-9999.0,74.66666666666667,35.69230769230769,37.75,38.0,37.666666666666664,35.666666666666664,33.333333333333336,50.142857142857146,45.333333333333336,38.9375,43.4,39.333333333333336,-9999.0,-9999.0,52.5
10.0,50.75,43.857142857142854,79.66666666666667,36.0,50.54545454545455,59.5,53.0,43.61538461538461,58.5,46.5,19.0,47.95652173913044,39.57142857142857,-9999.0,28.666666666666668,47.0,66.14285714285714,68.5,60.888888888888886,61.73684210526316,49.25,32.5,17.5,21.666666666666668,57.303030303030305,68.0,139.33333333333334,-9999.0,-9999.0,56.714285714285715,30.25,51.0,29.333333333333332,-9999.0,37.4,37.0,16.0,-9999.0,68.33333333333333,34.6,46.375,52.0,42.0,40.833333333333336,36.333333333333336,47.42857142857143,51.63157894736842,41.5,46.4,37.05555555555556,-9999.0,-9999.0,40.5
11.0,47.714285714285715,38.32142857142857,54.785714285714285,43.5,46.714285714285715,47.666666666666664,48.88235294117647,54.111111111111114,63.333333333333336,65.0,47.75,41.666666666666664,45.3,54.833333333333336,35.57142857142857,36.4,63.76923076923077,59.2,60.9,64.44,60.0,57.6,51.0,48.90909090909091,64.32352941176471,56.0,116.55555555555556,41.25,46.57142857142857,52.583333333333336,50.26315789473684,56.54545454545455,40.333333333333336,44.0,47.75,60.0,53.0,24.75,29.416666666666668,36.13333333333333,39.083333333333336,51.714285714285715,51.0,47.0,41.81818181818182,42.333333333333336,51.476190476190474,44.608695652173914,51.5,44.75,-9999.0,13.0,37.0
12.0,68.66666666666667,34.57692307692308,62.888888888888886,38.0,60.09090909090909,41.0,39.5,51.5,47.5,60.0,26.333333333333332,36.30434782608695,44.714285714285715,-9999.0,59.0,76.0,72.14285714285714,55.5,55.55555555555556,61.0,61.38095238095238,40.0,38.5,44.285714285714285,54.91304347826087,55.0,134.33333333333334,54.0,-9999.0,64.71428571428571,39.54545454545455,62.0,57.5,66.0,68.8,81.0,47.333333333333336,-9999.0,69.33333333333333,37.25,55.666666666666664,58.0,49.333333333333336,54.72727272727273,42.5,54.6,51.916666666666664,41.666666666666664,46.25,42.72222222222222,-9999.0,-9999.0,32.0
13.0,47.333333333333336,32.92307692307692,65.625,-9999.0,83.3,89.0,63.5,54.785714285714285,54.0,62.0,33.5,34.86363636363637,49.42857142857143,-9999.0,64.0,65.0,79.0,65.66666666666667,67.77777777777777,65.25,52.8,36.0,20.5,33.666666666666664,54.72222222222222,46.0,123.16666666666667,-9999.0,-9999.0,60.375,44.09090909090909,-9999.0,57.0,54.0,53.6,57.0,41.625,-9999.0,56.0,37.8421052631579,45.666666666666664,61.0,60.666666666666664,46.44444444444444,48.833333333333336,74.66666666666667,54.65217391304348,62.64705882352941,65.0,59.470588235294116,-9999.0,-9999.0,30.5
